Page ID,Page name,Disclaimer,Amount spent (EUR)
392341217527576,Gouvernement,Gouvernement,238
107223990753521,Office français de la biodiversité,Office français de la biodiversité,≤100
28312410177,World Food Programme,These ads ran without a disclaimer,≤100
1465382927092690,Fondation de la Mer,Fondation de la Mer with Facebook ad credits,≤100
189257527619,France Nature Environnement,France Nature Environnement,≤100
102262136124452,Only One France,Only One France,≤100
129740893750695,Sexosafe.fr,Santé Publique France,≤100
139663936132117,Le Point Événements,LE POINT,≤100
1830048580344520,Santé publique France,Santé Publique France,≤100
610696639428997,VEOCEL,These ads ran without a disclaimer,≤100
178674135334159,Parrot: AI Voice Generator,These ads ran without a disclaimer,≤100
212063409135139,ARS Guadeloupe,ARS Guadeloupe,≤100
804997446264798,Chic Me,These ads ran without a disclaimer,≤100
261763073696478,Codorugby 2024,100% Rugby,≤100
263891677826490,Earthsider,These ads ran without a disclaimer,≤100
249511025094939,Fundación CorpArtes,These ads ran without a disclaimer,≤100
1443487779196572,Connie Constance,These ads ran without a disclaimer,≤100
417997281579542,OnSexprime.fr,Santé Publique France,≤100
115366836686423,Regrow My Planet,These ads ran without a disclaimer,≤100
782809982074143,EcoWatt Premium,These ads ran without a disclaimer,≤100
9547656123,Croix-Rouge française,These ads ran without a disclaimer,≤100
217440228379539,"Ministère chargé de l’Égalité FH, la Diversité et l’Égalité des chances",These ads ran without a disclaimer,≤100
604742389649107,Seekers Notes,These ads ran without a disclaimer,≤100
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100
2388354714741824,EcoInnova,These ads ran without a disclaimer,≤100
307296959296266,Caisse d'Epargne CEPAC,Caisse d'Epargne CEPAC,≤100
561493610550062,Bombshell Sportswear,These ads ran without a disclaimer,≤100
101226821426893,Bourse Familiale,These ads ran without a disclaimer,≤100
104542915517297,YourHelp,These ads ran without a disclaimer,≤100
392341217527576,Gouvernement,These ads ran without a disclaimer,≤100
13204463437,"UNHCR, the UN Refugee Agency",These ads ran without a disclaimer,≤100
102389457864860,Treehuggers Bracelets,These ads ran without a disclaimer,≤100
228889237487093,Best Expat Insurance Deals,These ads ran without a disclaimer,≤100
216311481960,Bill Gates,These ads ran without a disclaimer,≤100
307296959296266,Caisse d'Epargne CEPAC,These ads ran without a disclaimer,≤100
45537717797,Bibliothèques Sans Frontières,Bibliothèques Sans Frontières,≤100
105835564457810,Series,These ads ran without a disclaimer,≤100
9359316996,L'Express,These ads ran without a disclaimer,≤100
73970658023,International Rescue Committee,These ads ran without a disclaimer,≤100
110079478080875,Bayyeux Outlet,These ads ran without a disclaimer,≤100
9547656123,Croix-Rouge française,Croix-Rouge française,≤100
1852520761657982,4ocean,These ads ran without a disclaimer,≤100
1116164011746257,SXM Festival,These ads ran without a disclaimer,≤100
100157338175673,Accélérateur-immobilier,These ads ran without a disclaimer,≤100
8304333127,The Wall Street Journal,These ads ran without a disclaimer,≤100
196708717010864,Ministère de la Justice,These ads ran without a disclaimer,≤100
8340223883,Avaaz,Avaaz,≤100
22098836555,Smallable,These ads ran without a disclaimer,≤100
816074091903635,Comme Avant,These ads ran without a disclaimer,≤100
119365512118453,Groupama Antilles Guyane,These ads ran without a disclaimer,≤100
158714780827513,UNFPA,These ads ran without a disclaimer,≤100
565108056966122,Curiosity Stream,These ads ran without a disclaimer,≤100
1917715138510680,Follow Your Legend,These ads ran without a disclaimer,≤100
144605586488363,Sainte Vierge de Gwadalupe,These ads ran without a disclaimer,≤100
411450196264363,Titan Power+,These ads ran without a disclaimer,≤100
182073298490036,Gaia,These ads ran without a disclaimer,≤100
7783116506,Animals Asia,These ads ran without a disclaimer,≤100
19746387261,Humane Society International,These ads ran without a disclaimer,≤100
1672464886356988,Mes 5000 rêves,These ads ran without a disclaimer,≤100
558219981362140,MyStraw Company,These ads ran without a disclaimer,≤100
205223110029331,EWAG Live,These ads ran without a disclaimer,≤100
481644681966353,Gleiser Boroni,These ads ran without a disclaimer,≤100
100466264657702,Giantef,These ads ran without a disclaimer,≤100
1276503745842895,DYLN Alkaline Water Bottle,These ads ran without a disclaimer,≤100
111530748052908,Ansanm Ansanm Antilles Guyane,These ads ran without a disclaimer,≤100
107380783977255,Red Cole ️,These ads ran without a disclaimer,≤100
341919152841763,Camilla Ghione,These ads ran without a disclaimer,≤100
1397369893908819,QVC SHOP,These ads ran without a disclaimer,≤100
138533623013230,Radio Transat,These ads ran without a disclaimer,≤100
1878320149136407,Rise of Empires: Ice and Fire,These ads ran without a disclaimer,≤100
101703562286596,Credit plus,These ads ran without a disclaimer,≤100
1664959567149320,Wholesome Culture,These ads ran without a disclaimer,≤100
499216563439238,Politique Guadeloupe,These ads ran without a disclaimer,≤100
165004157332215,EWA: Learn Languages,These ads ran without a disclaimer,≤100
658866270854859,Kate.tech,These ads ran without a disclaimer,≤100
1545035889067061,LITA.co France,LITA.co France,≤100
386587978073806,Si me pones niñera no voy al colegio,These ads ran without a disclaimer,≤100
103960591568992,Rich Patrol,These ads ran without a disclaimer,≤100
155174084508744,Banque mondiale,These ads ran without a disclaimer,≤100
102416722029565,"Innovate4Climate, I4C 2023",These ads ran without a disclaimer,≤100
113341143794833,Swimoon fr,These ads ran without a disclaimer,≤100
1223040224395261,Cabinet BALON,These ads ran without a disclaimer,≤100
101365924630638,Awesome T-shirt,These ads ran without a disclaimer,≤100
8002590959,Rainforest Action Network - RAN,These ads ran without a disclaimer,≤100
110478361801170,Primmitive,These ads ran without a disclaimer,≤100
76283417065,L'EQUIPE,These ads ran without a disclaimer,≤100
1482078522101758,SeDomicilier,These ads ran without a disclaimer,≤100
503951883021764,ShareTheMeal,These ads ran without a disclaimer,≤100
492456034288440,Mandafr,These ads ran without a disclaimer,≤100
369102560473158,GuyaMag by EWAG,These ads ran without a disclaimer,≤100
6013004059,The Economist,These ads ran without a disclaimer,≤100
189994378314619,Négrophobie & Sexophobie,Jean-Philippe Branchi,≤100
105666144829254,Ocean Project,These ads ran without a disclaimer,≤100
1065631633538453,Medics Across Continents,These ads ran without a disclaimer,≤100
108217120986234,King Of Clothes,These ads ran without a disclaimer,≤100
175889425769412,BAR-TEK Motorsport,These ads ran without a disclaimer,≤100
100296704772989,Wildlife Mission,These ads ran without a disclaimer,≤100
788620471336995,Natural Mystic Shop,These ads ran without a disclaimer,≤100
1597089123919661,Les Éditions du Dauphin,These ads ran without a disclaimer,≤100
687589164666184,MasterClass,These ads ran without a disclaimer,≤100
1548480882053969,SNETAA-FO,These ads ran without a disclaimer,≤100
719796491812437,Oy Prevex Ab,These ads ran without a disclaimer,≤100
111620207187803,Evaldo Ramos,These ads ran without a disclaimer,≤100
140716706608231,Left To Survive,These ads ran without a disclaimer,≤100
304678472936995,Coral Guardian,These ads ran without a disclaimer,≤100
207349396365945,Union des Savoirs,L'Union des Savoirs,≤100
328771631175563,"Breeze: mood journal, diary",These ads ran without a disclaimer,≤100
1830048580344520,Santé publique France,These ads ran without a disclaimer,≤100
110281747120873,Allareblu,These ads ran without a disclaimer,≤100
5647744585,PETA (People for the Ethical Treatment of Animals),These ads ran without a disclaimer,≤100
103330614770934,Ocean Project,These ads ran without a disclaimer,≤100
104440629283175,Yannis Olivier Malahël,These ads ran without a disclaimer,≤100
402751579582998,Caisse d'allocations,These ads ran without a disclaimer,≤100
492962751052304,LIVEKINDLY,These ads ran without a disclaimer,≤100
100521645090115,King Of Clothes,These ads ran without a disclaimer,≤100
95750947597,France tv,These ads ran without a disclaimer,≤100
121255219270912,أفضل ألعاب الحرب العربية لعام 2022,These ads ran without a disclaimer,≤100
102912611252148,Rêve,These ads ran without a disclaimer,≤100
102401037771693,Piradealch,These ads ran without a disclaimer,≤100
784009015121501,Kendy Polestin,These ads ran without a disclaimer,≤100
102962924573499,Melchior.fr,Agence Verywell,≤100
104018621290792,MentorShow France,These ads ran without a disclaimer,≤100
353568358747,Tev - Ici Japon,These ads ran without a disclaimer,≤100
148403952510172,My Better Self,These ads ran without a disclaimer,≤100
328227120690505,Ministère du Travail,These ads ran without a disclaimer,≤100
338109312883186,China Xinhua News,These ads ran without a disclaimer,≤100
100347051883088,Emanuele Balsemin Music,These ads ran without a disclaimer,≤100
1261801510582349,I Heart My Baby Kids,These ads ran without a disclaimer,≤100
398799110143354,Lev Haolam - Supporting Israel,These ads ran without a disclaimer,≤100
2164454073820717,EduCarib,These ads ran without a disclaimer,≤100
459067954517628,Jamie Harrison Guitar,These ads ran without a disclaimer,≤100
805505439523223,ENERGY OBSERVER,ENERGY OBSERVER,≤100
623761824782109,Zanvos,These ads ran without a disclaimer,≤100
108941249155931,Science and Nonduality Conference,These ads ran without a disclaimer,≤100
151824778178898,Maison&Objet,These ads ran without a disclaimer,≤100
167873824012557,Oceanus,These ads ran without a disclaimer,≤100
108464032356797,Vincent Murina,These ads ran without a disclaimer,≤100
226100820835641,Kristen Bell,These ads ran without a disclaimer,≤100
11143511047,Mike Schmid,These ads ran without a disclaimer,≤100
113615355316959,WIRED UK,These ads ran without a disclaimer,≤100
100691365601989,luciemoninparis,These ads ran without a disclaimer,≤100
107898832590939,European Commission,European Commission,≤100
104047538079686,Coming For You 為你而來,These ads ran without a disclaimer,≤100
123476174412250,Doris Kearns Goodwin,These ads ran without a disclaimer,≤100
102165489827101,CCI Saint-Martin,These ads ran without a disclaimer,≤100
1409227832737551,Woven In Hiatus,These ads ran without a disclaimer,≤100
100998292278237,Jobs in Canada,These ads ran without a disclaimer,≤100
1450124851874528,Airportag,These ads ran without a disclaimer,≤100
104765955608054,Irina Volfson,These ads ran without a disclaimer,≤100
551158678560402,Epimonia,These ads ran without a disclaimer,≤100
111641071153425,Informed,These ads ran without a disclaimer,≤100
102635655320437,Number Match - Logic Puzzle Game,These ads ran without a disclaimer,≤100
208619589270223,Nextory,These ads ran without a disclaimer,≤100
171394474980202,Patrimoine Naturel Français,Destin Commun,≤100
1835697853318818,"Volvo Construction Equipment - Europe, Middle East and Africa",These ads ran without a disclaimer,≤100
189234534569546,Cape Clasp,These ads ran without a disclaimer,≤100
9258148868,The New Yorker,These ads ran without a disclaimer,≤100
101281058811391,Astuce de Fin du Mois,Destin Commun,≤100
234952014084732,GURU,These ads ran without a disclaimer,≤100
100254824748185,Jensog-UK,These ads ran without a disclaimer,≤100
182898221791498,Hitachi in Europe,These ads ran without a disclaimer,≤100
39435457457,Greenpeace France,Greenpeace France,≤100
865249360195999,OCEANR,These ads ran without a disclaimer,≤100
7297163299,Greenpeace International,These ads ran without a disclaimer,≤100
190010265716,Cisco Networking Academy,These ads ran without a disclaimer,≤100
167327710092323,Mollaei Law,These ads ran without a disclaimer,≤100
1013449992051964,Daquan,These ads ran without a disclaimer,≤100
1451772388394989,UNSA Fonction publique,UNSA Fonction Publique,≤100
126052760507,Mama Cash,These ads ran without a disclaimer,≤100
727536004088529,Europavox,These ads ran without a disclaimer,≤100
518470628501266,L'islam pour tous,These ads ran without a disclaimer,≤100
204614423583572,SIPEM,Mathieu Gaulène,≤100
119006106155684,PI Energy,These ads ran without a disclaimer,≤100
106665867763865,Mad3 For M3,These ads ran without a disclaimer,≤100
330778694378462,Lucy hair l,These ads ran without a disclaimer,≤100
106705935507742,Billycity,These ads ran without a disclaimer,≤100
211928638679961,Palestinelivesmatter,These ads ran without a disclaimer,≤100
100485764982266,Only One,These ads ran without a disclaimer,≤100
188972590657,Moto.pl,These ads ran without a disclaimer,≤100
108637620485364,Brain Nuggets,These ads ran without a disclaimer,≤100
830745393968583,Investigations et Enquêtes,These ads ran without a disclaimer,≤100
671588366231074,Aurum Brothers,These ads ran without a disclaimer,≤100
225709568292032,College of Hospitality Management Lal-lo,These ads ran without a disclaimer,≤100
2080256475322790,Coolmic,These ads ran without a disclaimer,≤100
508621386147294,Isla Ida Jewelry,These ads ran without a disclaimer,≤100
93745060700,CARE,These ads ran without a disclaimer,≤100
106524325036276,Canada Job Opportunity,These ads ran without a disclaimer,≤100
101837288924546,Muslimi,These ads ran without a disclaimer,≤100
101368738938397,Redefined Kindness,These ads ran without a disclaimer,≤100
255129798279312,Coral Gardeners,These ads ran without a disclaimer,≤100
198923543958153,Solarlightek - Candeeiro a Energia Solar,These ads ran without a disclaimer,≤100
100528494989042,Funy Shop,These ads ran without a disclaimer,≤100
437673506591544,Valérie Damaseau,These ads ran without a disclaimer,≤100
998894563787645,w4tch tv,These ads ran without a disclaimer,≤100
125282832662,Relais & Châteaux,These ads ran without a disclaimer,≤100
417997281579542,OnSexprime.fr,These ads ran without a disclaimer,≤100
215138065124,Louis Vuitton,These ads ran without a disclaimer,≤100
100913528308210,Dreame-Lover,These ads ran without a disclaimer,≤100
161704781305446,The Spark Company,These ads ran without a disclaimer,≤100
630809920303095,Erasmus+,These ads ran without a disclaimer,≤100
107895321698840,bosse_rothe,These ads ran without a disclaimer,≤100
122037308191612,Make.org,Make.org,≤100
102736055080158,signatureassurances,These ads ran without a disclaimer,≤100
1559901027613381,TRT World,These ads ran without a disclaimer,≤100
253635411315081,Luis Abinader,These ads ran without a disclaimer,≤100
100123472598053,axl971,These ads ran without a disclaimer,≤100
108624498687093,Soutien_femmes_iran,Marion Quantin Amigorena,≤100
101100754842817,MaBroz,These ads ran without a disclaimer,≤100
102969979272954,CIG Petite Couronne,Centre Interdépartemental de Gestion de la Petite Couronne,≤100
106701097369894,Desenhador E Projectista,These ads ran without a disclaimer,≤100
107686894864589,Bagatellehouse,These ads ran without a disclaimer,≤100
464869844040164,Gmascota,These ads ran without a disclaimer,≤100
1684724295099974,Trending Taiwan潮台灣,These ads ran without a disclaimer,≤100
103644812235371,My Dream World,These ads ran without a disclaimer,≤100
320619737988417,Peugeot,These ads ran without a disclaimer,≤100
113205478695478,Bleu-Blanc-Coeur,Bleu-Blanc-Coeur,≤100
103335725360168,Jobs Vacancies in Canada,These ads ran without a disclaimer,≤100
1691667177798461,Brut,These ads ran without a disclaimer,≤100
101305668633517,Bob's Hideout - Lifestyle,These ads ran without a disclaimer,≤100
286595302289395,Knowfashionstyle Online Store,These ads ran without a disclaimer,≤100
107898798686030,Postcards from Ukraine,These ads ran without a disclaimer,≤100
102371144884962,TVBee World,These ads ran without a disclaimer,≤100
112030681144381,Canada Jobs For Foreign Workers,These ads ran without a disclaimer,≤100
129976240725218,National Park Rescue,These ads ran without a disclaimer,≤100
19740928752,World Animal Protection,These ads ran without a disclaimer,≤100
102839468523186,APEX อันดับหนึ่งเลเซอร์ขน,These ads ran without a disclaimer,≤100
502525523235267,Würth France,These ads ran without a disclaimer,≤100
1168100603247597,Perff Studio,These ads ran without a disclaimer,≤100
1002862826501973,"Beaview, le magazine du handicap, indépendant et engagé",Beaview,≤100
10150117024820317,FSU-SNUipp,SNUipp-FSU,≤100
1369322403090410,Capital santé/Médecine TV,These ads ran without a disclaimer,≤100
26907085049,Scouts et Guides de France,Scouts et Guides de France,≤100
286094071469577,VINCI Energies,These ads ran without a disclaimer,≤100
110246230808000,LZC International News,These ads ran without a disclaimer,≤100
1813120805453660,Matthieu Lesueur,These ads ran without a disclaimer,≤100
824110414271095,Lain Garcia Calvo,These ads ran without a disclaimer,≤100
1598764970362891,Jordan Bardella,Jordan Bardella,≤100
585004911835101,Framed Hoops / Canvases,These ads ran without a disclaimer,≤100
767952000001198,Синхронизация,These ads ran without a disclaimer,≤100
840901192703231,Les Patriotes pour l’Europe,Groupe Identité et Démocratie - France,≤100
161689651054707,Brut nature,These ads ran without a disclaimer,≤100
15299247059,EURACTIV,These ads ran without a disclaimer,≤100
109452232973620,ProductHype,These ads ran without a disclaimer,≤100
1757782394471400,Brut,Brut,≤100
101221238456688,Plan transition énergie,plan transition energie,≤100
142133922493668,DOFUS,These ads ran without a disclaimer,≤100
233837236646661,Volkswagen,These ads ran without a disclaimer,≤100
173149059405085,Derby Hotels Collection,These ads ran without a disclaimer,≤100
152835304742765,Les Petits Frères des Pauvres,Les Petits Frères des Pauvres,≤100
109271965783066,Usbek & Rica,Usbek & Rica,≤100
235945666565031,Food Yoga International,These ads ran without a disclaimer,≤100
