Page ID,Page name,Disclaimer,Amount spent (EUR)
392341217527576,Gouvernement,Gouvernement,≤100
417997281579542,OnSexprime.fr,Santé Publique France,≤100
1465382927092690,Fondation de la Mer,Fondation de la Mer with Facebook ad credits,≤100
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,≤100
122037308191612,Make.org,Make.org,≤100
189257527619,France Nature Environnement,France Nature Environnement,≤100
139663936132117,Le Point Événements,LE POINT,≤100
782809982074143,EcoWatt Premium,These ads ran without a disclaimer,≤100
1830048580344520,Santé publique France,Santé Publique France,≤100
261763073696478,Codorugby 2024,100% Rugby,≤100
112089808135442,Mme Champmoreau Isabelle,These ads ran without a disclaimer,≤100
28312410177,World Food Programme,These ads ran without a disclaimer,≤100
358205864284690,Calédonie Ensemble,These ads ran without a disclaimer,≤100
804997446264798,Chic Me,These ads ran without a disclaimer,≤100
115644296942169,Napole Polutele officiel,These ads ran without a disclaimer,≤100
9359316996,L'Express,These ads ran without a disclaimer,≤100
189994378314619,Négrophobie & Sexophobie,Jean-Philippe Branchi,≤100
102040384983884,進之道,These ads ran without a disclaimer,≤100
115591005188475,Global Times,These ads ran without a disclaimer,≤100
129740893750695,Sexosafe.fr,Santé Publique France,≤100
217440228379539,"Ministère chargé de l’Égalité FH, la Diversité et l’Égalité des chances",These ads ran without a disclaimer,≤100
155174084508744,Banque mondiale,These ads ran without a disclaimer,≤100
660605300621460,Fondation Brigitte Bardot,These ads ran without a disclaimer,≤100
103182332049556,Groupe d'aide,These ads ran without a disclaimer,≤100
100650539358113,CLSE - Collectif des Luttes Sociales & Environnementales,CLSE - Collectif des Luttes Sociales & Environnementales,≤100
196708717010864,Ministère de la Justice,These ads ran without a disclaimer,≤100
392341217527576,Gouvernement,These ads ran without a disclaimer,≤100
358205864284690,Calédonie Ensemble,Calédonie Ensemble,≤100
109091011430956,Ultra Fighter: Supernova,These ads ran without a disclaimer,≤100
102962924573499,Melchior.fr,Agence Verywell,≤100
238096810103818,Voix des Outre-mer,Concours Voix des Outre-mer,≤100
102262136124452,Only One France,Only One France,≤100
1548480882053969,SNETAA-FO,These ads ran without a disclaimer,≤100
105835564457810,Series,These ads ran without a disclaimer,≤100
499216563439238,Politique Guadeloupe,These ads ran without a disclaimer,≤100
103948731954679,Amanaki - Bâtir ensemble,These ads ran without a disclaimer,≤100
102874232203527,New Page,These ads ran without a disclaimer,≤100
102167778949481,Mme Cynthia Ligeard Officiel,These ads ran without a disclaimer,≤100
100776202191315,Infinite Force,These ads ran without a disclaimer,≤100
101922076200576,Sociétés De Gestion Du Financements,These ads ran without a disclaimer,≤100
